排名,封面,歌名,歌手,愛心數量,愛心數量(數值),播放次數,時長,發佈日期,標籤,歌曲連結
130,https://i.ytimg.com/vi/24K4oZjv01I/sddefault.jpg,aLIEz,SawanoHiroyuki[nZk]:mizuki,1.2K,1200,21.9K,4:37,2014-09-10,"#ANM, #SawanoHiroyuki[nZk], #mizuki",https://www.marumaru-x.com/japanese-song/play-xqrd95q5nd
131,https://i.ytimg.com/vi/-J9FuvPmMoI/sddefault.jpg,スパークル (movie ver.),RADWIMPS,1.2K,1200,26.3K,8:58,2016-08-24,"#ANM, #RADWIMPS",https://www.marumaru-x.com/japanese-song/play-ymre3w8od3
132,https://i.ytimg.com/vi/FaRmThAbyOU/sddefault.jpg,DAN DAN 心魅かれてく,FIELD OF VIEW,1.2K,1200,28.7K,3:36,1996-03-11,"#ANM, #FIELD OF VIEW",https://www.marumaru-x.com/japanese-song/play-lvnw1lkqo7
133,https://i.ytimg.com/vi/I7ZdoZQesEA/sddefault.jpg,世界に一つだけの花,SMAP,1.2K,1200,15.5K,4:37,2002-07-24,"#JPOP, #SMAP",https://www.marumaru-x.com/japanese-song/play-1zn4qzdxre
134,https://i.ytimg.com/vi/D_Oyplmhhv0/sddefault.jpg,喜劇,星野源,1.2K,1200,37.3K,4:36,2022-04-08,"#ANM, #星野源",https://www.marumaru-x.com/japanese-song/play-lvnw1x23o7
135,https://i.ytimg.com/vi/ngm99aJh7ig/sddefault.jpg,LAST STARDUST,Aimer,1.2K,1200,20.4K,5:19,2015-07-29,"#ANM, #Aimer",https://www.marumaru-x.com/japanese-song/play-wdr6qymln3
136,https://i.ytimg.com/vi/ytQ3Hs3WjQ4/sddefault.jpg,明日への手紙,手嶌葵,1.2K,1200,35.2K,5:32,2014-07-23,"#JPOP, #手嶌葵",https://www.marumaru-x.com/japanese-song/play-ywn1zpmer7
137,https://i.ytimg.com/vi/09z87O1CgIw/sddefault.jpg,KING,天神子兎音,1.2K,1200,39.3K,2:15,2020-09-11,"#COV, #天神子兎音",https://www.marumaru-x.com/japanese-song/play-v7n3kgjvok
138,https://i.ytimg.com/vi/4xuP6Wnkqpc/sddefault.jpg,Time after time～花舞う街で～,倉木麻衣,1.2K,1200,29.7K,4:11,2003-03-05,"#ANM, #倉木麻衣",https://www.marumaru-x.com/japanese-song/play-ywn137jo7l
139,https://i.ytimg.com/vi/jbHG7fsZVkM/sddefault.jpg,めざせポケモンマスター,松本梨香,1.2K,1200,19.1K,4:13,1997-06-28,"#ANM, #松本梨香",https://www.marumaru-x.com/japanese-song/play-xqrd9k86nd
140,https://i.ytimg.com/vi/eWeSqrRk-gs/sddefault.jpg,メリーゴーランド,優里,1.2K,1200,50.2K,5:14,2022-12-22,"#ANM, #優里",https://www.marumaru-x.com/japanese-song/play-60rm9g65np
141,https://i.ytimg.com/vi/0q6c0AKDKU4/sddefault.jpg,ミカヅキ,さユり,1.2K,1200,29K,4:30,2015-08-26,"#ANM, #さユり",https://www.marumaru-x.com/japanese-song/play-g9r00vgrv8
142,https://i.ytimg.com/vi/vVGa8I0Atcg/sddefault.jpg,空色デイズ,中川翔子,1.2K,1200,22.9K,4:22,2007-06-27,"#ANM, #中川翔子",https://www.marumaru-x.com/japanese-song/play-evr81ddnm5
143,https://i.ytimg.com/vi/bt8wNQJaKAk/sddefault.jpg,I LOVE...,Official髭男dism,1.2K,1200,58.6K,4:49,2020-02-12,"#JPOP, #Official髭男dism",https://www.marumaru-x.com/japanese-song/play-e4oy5kzdn3
144,https://i.ytimg.com/vi/a3FgmTfvJhA/sddefault.jpg,可愛くてごめん,かぴ,1.1K,1100,45.5K,3:42,2022-08-28,"#JPOP, #HoneyWorks, #かぴ",https://www.marumaru-x.com/japanese-song/play-xqrd9mp5nd
145,https://i.ytimg.com/vi/9qhJ1vhTH7A/sddefault.jpg,君がくれた夏,家入レオ,1.1K,1100,38.9K,4:40,2015-08-19,"#JPOP, #家入レオ",https://www.marumaru-x.com/japanese-song/play-xqrd96q5nd
146,https://i.ytimg.com/vi/1zwaZkOXXqw/sddefault.jpg,DADDY! DADDY! DO! feat. 鈴木愛理,鈴木雅之,1.1K,1100,24.3K,4:15,2020-04-15,"#ANM, #鈴木雅之, #鈴木愛理",https://www.marumaru-x.com/japanese-song/play-y7okwz4voq
147,https://i.ytimg.com/vi/-XgOWOS9btU/sddefault.jpg,小さな恋のうた,新垣結衣と少年少女ガッキー団,1.1K,1100,28.2K,5:25,2010-09-22,"#JPOP, #新垣結衣",https://www.marumaru-x.com/japanese-song/play-wdr6q849n3
148,https://i.ytimg.com/vi/aHIR33pOUv0/sddefault.jpg,Everything,MISIA,1.1K,1100,31K,7:09,2000-10-25,"#JPOP, #MISIA",https://www.marumaru-x.com/japanese-song/play-260rmjzrpz
149,https://i.ytimg.com/vi/r93rVW--5ZU/sddefault.jpg,晩餐歌,tuki.×優里,1.1K,1100,50.2K,3:51,2023-11-06,"#JPOP, #tuki., #優里",https://www.marumaru-x.com/japanese-song/play-g9r05g6dnv
